fips,name,pop_1990,pop_2000,pop_2010,pop_2020,pop_2022,percentChange_2020_2022
48461,Upton,4447,3408,3355,3308,3152,-4.70%
48463,Uvalde,23340,25919,26405,24564,24940,1.50%
48465,Val Verde,38721,44834,48879,47584,47606,0.00%
48467,Van Zandt,37944,48129,52579,59540,62859,5.60%
48469,Victoria,74361,84077,86793,91320,91065,-0.30%
48471,Walker,50917,61757,67861,76402,78870,3.20%
48473,Waller,23374,32545,43205,56763,61894,9.00%
48475,Ward,13115,10909,10658,11648,10964,-5.90%
48477,Washington,26154,30412,33718,35804,36159,1.00%
48479,Webb,133239,193124,250304,267110,267780,0.30%
48481,Wharton,39955,41191,41280,41574,41824,0.60%
48483,Wheeler,5879,5289,5410,4987,4807,-3.60%
48485,Wichita,122378,131695,131500,129355,129978,0.50%
48487,Wilbarger,15121,14679,13535,12891,12491,-3.10%
48489,Willacy,17705,20079,22134,20163,20143,-0.10%
48491,Williamson,139551,250466,422679,609010,671418,10.20%
48493,Wilson,22650,32401,42918,49757,52735,6.00%
48495,Winkler,8626,7173,7110,7791,7306,-6.20%
48497,Wise,34679,48789,59127,68632,74895,9.10%
48499,Wood,29380,36729,41964,44855,46857,4.50%
48501,Yoakum,8786,7325,7879,7695,7451,-3.20%
48503,Young,18126,17872,18550,17867,17962,0.50%
48505,Zapata,9279,12081,14018,13888,13849,-0.30%
48507,Zavala,12162,11645,11677,9670,9377,-3.00%
