fips,name,state,2014,2015,2016,2017,2018,2019,2020,2021,2022,Median Household Income (2021),% of State Median HH Income
48187,Guadalupe,TX,4.4,3.6,3.6,3.4,3.2,3,6.1,4.5,3.4,80145,119.7
48189,Hale,TX,9.5,6.4,5.6,5.2,4.8,4.5,6.8,6.1,4.9,47373,70.7
48191,Hall,TX,6.3,5.4,6.7,6.2,4.4,4.2,5.8,5.5,4.2,34766,51.9
48193,Hamilton,TX,4.7,4.7,4.9,4,3.3,3,4.6,4.1,3.4,53759,80.3
48195,Hansford,TX,2.6,3,3.1,2.6,2.3,2.4,3.5,3.1,2.4,57692,86.2
48197,Hardeman,TX,5,4.9,3.9,4,3.6,3,4.4,4.3,3.5,45677,68.2
48199,Hardin,TX,6.4,5.7,6.1,6.2,5.2,4.6,8.9,7.9,5.2,67183,100.3
48201,Harris,TX,5.1,4.7,5.3,5.1,4.4,3.9,9,6.4,4.2,63539,94.9
48203,Harrison,TX,5.6,5.3,6,5.3,4.4,4,7.9,6.6,4.5,56645,84.6
48205,Hartley,TX,2.6,2.1,2,2,1.8,1.7,2,2.2,2,71332,106.5
48207,Haskell,TX,4,3.5,4.2,4.8,3.9,3.3,4.3,4,3,43546,65
48209,Hays,TX,4.3,3.5,3.3,3.2,3,2.8,6.3,4.1,3,79336,118.5
48211,Hemphill,TX,2.4,3.2,3.7,2.5,2.1,2.6,4.6,4.4,3.3,65387,97.7
48213,Henderson,TX,5.7,4.9,4.7,4.2,3.8,3.5,6.4,5.2,3.8,50348,75.2
48215,Hidalgo,TX,8.9,8,7.8,7.5,6.6,6.3,11.7,9.1,6.5,44260,66.1
48217,Hill,TX,5.3,4.6,4.4,4,3.7,3.3,6.3,5,3.9,52495,78.4
48219,Hockley,TX,3.9,4.2,4.7,3.7,3.1,3,8,5.9,3.7,51078,76.3
48221,Hood,TX,5,4.5,4.7,4.2,3.7,3.4,6.6,5.2,3.7,68911,102.9
